Name,AgeinMonths,LocomotorStatus,Percent_walk,ObservationTime
A,10,crawler,0,2711
A,10.5,crawler,0,5425
A,11,crawler,0,5127
A,11.5,crawler,0,5206
A,12,crawler,0,5436
A,12.5,crawler,0,5479
A,13,crawler,0,5411
A,13.5,crawler,8.333333333,5413
A,14,crawler,0,5425
A,14.5,crawler,6.25,5481
A,15,walker,76.92307692,2701
A,15.5,walker,85,5433
B,10,crawler,0,2710
B,10.5,crawler,24.67532468,5406
B,11,walker,55.69620253,5427
B,11.5,walker,76.36363636,5407
B,12,walker,91.73553719,5410
B,12.5,walker,90.72847682,5414
B,13,walker,91.50943396,5402
B,13.5,walker,99.09090909,5422
B,14,walker,100,5462
B,14.5,walker,84.61538462,5406
B,15,walker,98.95833333,5402
B,15.5,walker,80.76923077,5469
C,10,crawler,0,2725
C,10.5,crawler,0,5108
C,11,crawler,6.896551724,5421
C,11.5,crawler,25.42372881,5408
C,12,walker,59.7826087,5499
C,12.5,walker,86.53846154,4081
C,13,walker,90.38461538,5409
C,13.5,walker,93.18181818,5403
C,14,walker,97.26027397,5401
C,14.5,walker,100,5408
C,15,walker,100,5105
C,15.5,walker,94.59459459,5402
D,10,crawler,0,4925
D,10.5,crawler,0,4688
D,11,crawler,0,4574
D,11.5,crawler,0,5411
D,12,crawler,23.33333333,5419
D,12.5,walker,78.37837838,5406
D,13,walker,95.34883721,5403
D,13.5,walker,100,5410
D,14,walker,100,4984
D,14.5,walker,98.48484848,5404
D,15,walker,98.66666667,5406
D,15.5,walker,94.73684211,5465
E,10,crawler,0,4923
E,10.5,crawler,0,4851
E,11,crawler,0,5121
E,11.5,crawler,0,5402
E,12.5,crawler,0,5413
E,13,walker,51.28205128,5404
E,13.5,walker,14.28571429,5453
E,14,walker,95.91836735,5399
E,14.5,walker,77.33333333,5404
E,15,walker,93.75,5403
E,15.5,walker,88.88888889,5405
E,12,crawler,NA,NA
